Category: All categories

Week,dry cough: (Afghanistan),fever: (Afghanistan),COVID-19 symptoms: (Afghanistan),loss of smell: (Afghanistan),coronavirus testing center: (Afghanistan)
2019-11-17,0,57,0,0,0
2019-11-24,0,60,0,0,0
2019-12-01,31,63,0,0,0
2019-12-08,0,42,0,0,0
2019-12-15,0,38,0,0,0
2019-12-22,30,59,0,0,0
2019-12-29,0,55,0,0,0
2020-01-05,0,35,0,0,0
2020-01-12,0,25,0,0,0
2020-01-19,0,39,0,0,0
2020-01-26,0,35,0,0,0
2020-02-02,0,41,0,0,0
2020-02-09,0,24,0,0,0
2020-02-16,0,26,0,0,0
2020-02-23,0,48,0,0,0
2020-03-01,24,24,0,0,0
2020-03-08,25,50,0,0,0
2020-03-15,0,26,0,0,0
2020-03-22,25,25,0,0,0
2020-03-29,0,34,0,26,0
2020-04-05,0,60,0,26,0
2020-04-12,0,50,0,0,0
2020-04-19,0,41,0,0,0
2020-04-26,0,58,0,0,0
2020-05-03,0,47,0,0,0
2020-05-10,29,100,0,0,0
2020-05-17,0,77,0,0,0
2020-05-24,0,79,0,0,0
2020-05-31,0,67,0,25,0
2020-06-07,0,83,0,25,0
2020-06-14,0,51,0,26,0
2020-06-21,0,42,0,0,0
2020-06-28,0,51,0,0,0
2020-07-05,0,25,0,0,0
2020-07-12,0,26,0,0,0
2020-07-19,0,52,0,0,0
2020-07-26,0,57,0,0,0
2020-08-02,0,27,0,0,0
2020-08-09,0,51,0,0,0
2020-08-16,0,42,0,0,0
2020-08-23,0,25,0,0,0
2020-08-30,0,0,0,0,0
2020-09-06,25,24,0,0,0
2020-09-13,24,24,0,0,0
2020-09-20,0,45,0,23,0
2020-09-27,24,24,0,0,0
2020-10-04,0,33,0,0,0
2020-10-11,26,51,0,0,0
2020-10-18,0,26,0,0,0
2020-10-25,0,26,0,0,0
2020-11-01,0,61,0,0,0
