Category: All categories

Week,dry cough: (Albania),fever: (Albania),COVID-19 symptoms: (Albania),loss of smell: (Albania),coronavirus testing center: (Albania)
2019-11-17,0,33,0,0,0
2019-11-24,16,65,0,0,0
2019-12-01,0,22,0,0,0
2019-12-08,0,16,0,0,0
2019-12-15,0,31,0,0,0
2019-12-22,0,23,0,0,0
2019-12-29,0,18,0,0,0
2020-01-05,0,31,0,0,0
2020-01-12,15,45,0,0,0
2020-01-19,0,46,0,0,0
2020-01-26,0,44,0,0,0
2020-02-02,15,30,0,0,0
2020-02-09,0,55,0,0,0
2020-02-16,0,45,0,0,0
2020-02-23,0,15,0,0,0
2020-03-01,0,44,0,0,0
2020-03-08,30,71,15,0,0
2020-03-15,14,73,0,0,0
2020-03-22,0,69,0,0,0
2020-03-29,0,35,13,0,0
2020-04-05,14,35,0,0,0
2020-04-12,0,22,0,0,0
2020-04-19,0,19,14,0,0
2020-04-26,0,15,0,0,0
2020-05-03,0,38,15,0,0
2020-05-10,0,26,0,0,0
2020-05-17,0,27,0,16,0
2020-05-24,0,32,0,0,0
2020-05-31,0,24,0,0,0
2020-06-07,0,26,0,0,0
2020-06-14,15,36,0,0,0
2020-06-21,0,57,0,0,0
2020-06-28,0,31,0,16,0
2020-07-05,15,38,0,0,0
2020-07-12,0,46,15,23,0
2020-07-19,0,36,16,32,0
2020-07-26,0,56,15,0,0
2020-08-02,0,50,0,14,0
2020-08-09,15,44,0,30,0
2020-08-16,0,30,22,15,0
2020-08-23,29,44,0,15,0
2020-08-30,0,47,0,14,0
2020-09-06,14,51,0,0,0
2020-09-13,0,43,0,0,0
2020-09-20,0,56,0,14,0
2020-09-27,0,29,0,0,0
2020-10-04,0,19,0,14,0
2020-10-11,0,58,0,14,0
2020-10-18,0,25,15,15,0
2020-10-25,0,43,0,14,0
2020-11-01,0,100,0,50,0
