Category: All categories

Week,dry cough: (Algeria),fever: (Algeria),COVID-19 symptoms: (Algeria),loss of smell: (Algeria),coronavirus testing center: (Algeria)
2019-11-17,0,33,0,0,0
2019-11-24,0,66,0,0,0
2019-12-01,0,49,0,0,0
2019-12-08,0,34,0,0,0
2019-12-15,0,33,0,0,0
2019-12-22,0,79,0,0,0
2019-12-29,0,61,0,0,0
2020-01-05,0,25,0,0,0
2020-01-12,0,48,0,0,0
2020-01-19,0,74,0,0,0
2020-01-26,0,25,0,0,0
2020-02-02,0,59,0,0,0
2020-02-09,0,60,0,0,0
2020-02-16,0,69,0,0,0
2020-02-23,0,59,0,0,0
2020-03-01,0,46,15,0,0
2020-03-08,0,26,0,0,0
2020-03-15,17,51,0,0,0
2020-03-22,0,76,15,0,0
2020-03-29,16,93,0,0,0
2020-04-05,0,69,0,0,0
2020-04-12,0,81,0,0,0
2020-04-19,0,62,0,0,0
2020-04-26,0,51,0,0,0
2020-05-03,20,49,0,0,0
2020-05-10,0,97,0,0,0
2020-05-17,0,50,0,0,0
2020-05-24,0,66,0,0,0
2020-05-31,18,53,0,0,0
2020-06-07,0,19,0,0,0
2020-06-14,0,19,19,0,0
2020-06-21,0,98,0,0,0
2020-06-28,0,49,0,0,0
2020-07-05,0,89,0,0,0
2020-07-12,0,39,0,0,0
2020-07-19,0,40,0,0,0
2020-07-26,0,42,0,0,0
2020-08-02,0,45,18,0,0
2020-08-09,0,100,0,0,0
2020-08-16,0,37,0,0,0
2020-08-23,0,38,19,0,0
2020-08-30,0,0,0,0,0
2020-09-06,0,73,0,0,0
2020-09-13,0,55,0,0,0
2020-09-20,0,65,0,0,0
2020-09-27,0,64,0,0,0
2020-10-04,0,19,0,0,0
2020-10-11,0,55,18,0,0
2020-10-18,0,47,19,0,0
2020-10-25,20,58,0,0,0
2020-11-01,0,45,0,0,0
